title,URL,product_title,price,star_ratings,number_of_global_ratings,customer_stars_percentages,Features_1,Features_2,Features_3
"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed)",https://www.amazon.ca/Apple-iPhone-12-64GB-Blue/dp/B08PNM1LNZ/ref=sr_1_2?crid=26SX7ZXIXP6QN&keywords=iphone%2B12&qid=1701477423&sprefix=iphone%2B12%2Caps%2C109&sr=8-2&th=1,"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed)",$440.00,4.1 out of 5 stars,"18,066 global ratings","{'5 star': '61%', '4 star': '15%', '3 star': '6%', '2 star': '4%', '1 star': '14%'}",Apple iPhone 12, 64GB, Blue - Unlocked (Renewed)
"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed)",https://www.amazon.ca/Apple-iPhone-128GB-Pacific-Renewed/dp/B08PMP778K/ref=sr_1_1?crid=1IWPBCFAV70V8&keywords=iphone%2B12%2Bpro%2Bmax&qid=1701477881&sprefix=iphone%2B12%2Bpro%2Caps%2C107&sr=8-1&th=1,"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed)",$639.00,4.1 out of 5 stars,"1,346 global ratings","{'5 star': '65%', '4 star': '12%', '3 star': '7%', '2 star': '2%', '1 star': '15%'}",Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed)
"iPhone 13, 128GB, Midnight - Unlocked (Renewed)",https://www.amazon.ca/Apple-iPhone-13-125GB-Midnight/dp/B09LNW3CY2/ref=sr_1_1?crid=3QFT1F6ESF9LI&keywords=iphone+13&qid=1701731150&sprefix=iphone+13%2Caps%2C122&sr=8-1,"iPhone 13, 128GB, Midnight - Unlocked (Renewed)",$638.00,4.1 out of 5 stars,"2,120 global ratings","{'5 star': '63%', '4 star': '13%', '3 star': '8%', '2 star': '6%', '1 star': '11%'}",iPhone 13, 128GB, Midnight - Unlocked (Renewed)
"Apple iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed)",https://www.amazon.ca/Apple-iPhone-13-Pro-Renewed/dp/B09LP7YLF9/ref=sr_1_1?crid=21JUF03XAH6K0&keywords=iphone+13+pro&qid=1701476885&sprefix=iphone+13+%2Caps%2C140&sr=8-1,"Apple iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed)",$757.52,4.2 out of 5 stars,377 global ratings,"{'5 star': '62%', '4 star': '17%', '3 star': '7%', '2 star': '3%', '1 star': '10%'}",Apple iPhone 13 Pro, 128GB, Gold - Unlocked (Renewed)
"Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)",https://www.amazon.ca/Apple-iPhone-13-Pro-Max/dp/B09LPDM924/ref=sr_1_1?crid=27NE6M1DE62O4&keywords=iphone+13+pro+max&qid=1701476928&sprefix=iphone+13+pro%2Caps%2C118&sr=8-1,"Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)",$810.00,4.1 out of 5 stars,958 global ratings,"{'5 star': '63%', '4 star': '15%', '3 star': '7%', '2 star': '3%', '1 star': '12%'}",Apple iPhone 13 Pro Max, 128GB, Sierra Blue - Unlocked (Renewed)
"Apple iPhone 14 Pro, 128GB, Space Black - Unlocked (Renewed)",https://www.amazon.ca/Apple-iPhone-14-Pro-128GB/dp/B0BN95FRW9/ref=sr_1_2?crid=2VSXHS4OE4J6W&keywords=iphone%2B14%2Bpro&qid=1701872372&sprefix=iphone%2B14%2Bpro%2Caps%2C127&sr=8-2&th=1,"Apple iPhone 14 Pro, 128GB, Space Black - Unlocked (Renewed)","$1,118.28",4.2 out of 5 stars,270 global ratings,"{'5 star': '65%', '4 star': '15%', '3 star': '6%', '2 star': '4%', '1 star': '9%'}",Apple iPhone 14 Pro, 128GB, Space Black - Unlocked (Renewed)
"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed)",https://www.amazon.ca/Apple-iPhone-128GB-Deep-Purple/dp/B0BN9P1GXC/ref=sr_1_2?crid=2YX6FJBJ5EJ89&keywords=iphone%2B14%2Bpro%2Bmax&qid=1701477082&sprefix=iphone%2B14%2Bpro%2Caps%2C119&sr=8-2&th=1,"Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed)","$1,233.29",4.3 out of 5 stars,267 global ratings,"{'5 star': '73%', '4 star': '9%', '3 star': '3%', '2 star': '2%', '1 star': '12%'}",Apple iPhone 14 Pro Max, 128GB, Deep Purple - Unlocked (Renewed)
