title,URL,product_title,price,star_ratings,number_of_global_ratings,customer_stars_percentages
"Samsung Galaxy S20 FE (5G) 128GB 6.5"" Display Unlocked Smartphone - Cloud Navy (Renewed)",https://www.amazon.ca/Samsung-Display-Factory-Unlocked-Smartphone/dp/B09353YZR8/ref=sr_1_1?crid=2I5HYFOXPT5A6&keywords=samsung+s20&qid=1701478443&sprefix=samsug+s20%2Caps%2C111&sr=8-1,"Samsung Galaxy S20 FE (5G) 128GB 6.5"" Display Unlocked Smartphone - Cloud Navy (Renewed)",$240.00,3.9 out of 5 stars,908 global ratings,"{'5 star': '58%', '4 star': '13%', '3 star': '6%', '2 star': '5%', '1 star': '17%'}"
"Samsung Galaxy S20 Ultra, 128GB, Cosmic Gray - Fully Unlocked (Renewed)",https://www.amazon.ca/Samsung-Galaxy-S20-Unlocked-Smartphone/dp/B08H7RJLM2/ref=sr_1_1?crid=1YYCLES1U29RT&keywords=samsung+s20+ultra&qid=1701478504&sprefix=samsung+s20+%2Caps%2C120&sr=8-1,"Samsung Galaxy S20 Ultra, 128GB, Cosmic Gray - Fully Unlocked (Renewed)",$437.99,4.0 out of 5 stars,"1,732 global ratings","{'5 star': '60%', '4 star': '13%', '3 star': '7%', '2 star': '5%', '1 star': '15%'}"
"Samsung Galaxy S21 5G 128GB 6.2"" Display, Snapdragon 888 5G, 64MP+12MP+12MP Camera Unlocked - Phantom Grey (Renewed)",https://www.amazon.ca/Samsung-Galaxy-S21-5G-Snapdragon/dp/B0933JJCNK/ref=sr_1_1?crid=1WSSMFPP7F5PU&keywords=samsung+s21&qid=1701478546&sprefix=samsung+s21%2Caps%2C120&sr=8-1,"Samsung Galaxy S21 5G 128GB 6.2"" Display, Snapdragon 888 5G, 64MP+12MP+12MP Camera Unlocked - Phantom Grey (Renewed)",$298.88,3.9 out of 5 stars,403 global ratings,"{'5 star': '55%', '4 star': '17%', '3 star': '7%', '2 star': '7%', '1 star': '14%'}"
Samsung Galaxy S21 Ultra (5G) 128GB Unlocked - Phantom Black (Renewed),https://www.amazon.ca/Samsung-Galaxy-S21-Ultra-5G/dp/B095PRJVHP/ref=sr_1_1?crid=1P3DPIQLMVH0I&keywords=samsung+s21+ultra&qid=1701478593&sprefix=samsung+s21%2Caps%2C164&sr=8-1,Samsung Galaxy S21 Ultra (5G) 128GB Unlocked - Phantom Black (Renewed),$469.99,3.8 out of 5 stars,246 global ratings,"{'5 star': '56%', '4 star': '15%', '3 star': '6%', '2 star': '4%', '1 star': '19%'}"
Samsung Galaxy S22 ULTRA (5G) 128GB Unlocked - Phantom Black (Renewed),https://www.amazon.ca/Samsung-Galaxy-Ultra-128GB-Unlocked/dp/B09VD33WHW/ref=sr_1_1?crid=1OCZ8NQVSKB02&keywords=samsung+s22+ultra&qid=1701478706&sprefix=samsung+s22+%2Caps%2C123&sr=8-1,Samsung Galaxy S22 ULTRA (5G) 128GB Unlocked - Phantom Black (Renewed),$618.00,4.0 out of 5 stars,781 global ratings,"{'5 star': '60%', '4 star': '14%', '3 star': '6%', '2 star': '5%', '1 star': '16%'}"
"Samsung Galaxy S23 Ultra (5G), 256GB - Phantom Black (Renewed)",https://www.amazon.ca/Samsung-Galaxy-S23-Ultra-Canadian/dp/B0C544TBQM/ref=sr_1_2?crid=KYTBMT7GO4KJ&keywords=samsung+s23+ultra&qid=1701478870&sprefix=samsung+s23%2Caps%2C114&sr=8-2,"Samsung Galaxy S23 Ultra (5G), 256GB - Phantom Black (Renewed)",$998.98,4.2 out of 5 stars,162 global ratings,"{'5 star': '72%', '4 star': '5%', '3 star': '4%', '2 star': '6%', '1 star': '14%'}"
